access_state,access_city,year_access,count_physician
RS,PALMARES DO SUL,2021,14
MG,NOVA PONTE,2023,115
SC,DESCANSO,2023,35
PR,ATALAIA,2024,13
RS,FARROUPILHA,2024,151
RJ,PORTO REAL,2022,56
MG,MATEUS LEME,2023,83
RS,BOA VISTA DAS MISSOES,2022,12
RJ,CARDOSO MOREIRA,2024,18
RJ,PORTO REAL,2023,76
PR,PITANGUEIRAS,2023,6
SC,GUARACIABA,2023,9
GO,OUVIDOR,2023,8
SP,SANTO ANDRE,2022,3588
RS,CANDELARIA,2021,39
BA,LAURO DE FREITAS,2021,861
RJ,SEROPEDICA,2022,200
SP,POMPEIA,2021,39
MG,INDIANOPOLIS,2024,7
PR,RIO NEGRO,2023,64
SC,TREZE TILIAS,2024,31
MG,GUARACIABA,2024,29
RS,COTIPORA,2024,20
RJ,ITALVA,2022,54
RR,ALTO ALEGRE,2022,13
PB,SAO DOMINGOS DO CARIRI,2023,8
RS,TAPERA,2023,17
RS,IVORA,2021,3
RS,GARIBALDI,2023,137
SP,BATATAIS,2022,224
RS,ENCRUZILHADA DO SUL,2022,43
MG,CONCEICAO DAS ALAGOAS,2022,132
SC,CELSO RAMOS,2024,3
SP,SERRANA,2021,111
SP,GETULINA,2021,19
PB,CUBATI,2023,23
RS,NOVA ROMA DO SUL,2021,3
PB,MATINHAS,2023,4
GO,NOVA AURORA,2021,3
MG,NOVA LIMA,2021,1775
PR,DOUTOR CAMARGO,2024,25
PR,RIO NEGRO,2024,135
RJ,RESENDE,2021,329
SP,VARGEM,2024,23
RJ,TANGUA,2023,52
CE,QUIXERE,2024,34
RS,HULHA NEGRA,2023,18
MA,BRASILIA,2024,21
PR,DOUTOR CAMARGO,2021,18
MG,BELO HORIZONTE,2024,17442
SP,LUPERCIO,2023,23
PR,COLOMBO,2024,327
MG,SACRAMENTO,2023,25
SP,MOGI DAS CRUZES,2023,1028
RJ,QUEIMADOS,2022,216
RS,ROSARIO DO SUL,2021,38
PB,SANTO ANDRE,2023,1
MG,RAPOSOS,2021,696
RJ,ITALVA,2023,46
SP,JARDINOPOLIS,2022,192
RS,SAO MARCOS,2024,71
SP,BIRITIBA MIRIM,2022,43
RS,PINHEIRINHO DO VALE,2021,3
ES,MUNIZ FREIRE,2021,50
BA,RIO DO PIRES,2024,18
ES,RIO BANANAL,2023,45
PR,ITAPERUCU,2023,32
BA,CATURAMA,2024,20
BA,ARACATU,2022,13
MG,RIO NOVO,2022,10
PB,SAO SEBASTIAO DE LAGOA DE ROCA,2021,4
RJ,NITEROI,2024,2264
RJ,PIRAI,2024,102
SC,SANTA ROSA DO SUL,2023,43
PR,SANTA FE,2023,67
GO,SAO SIMAO,2022,122
RS,SERAFINA CORREA,2022,85
RS,FELIZ,2024,97
PR,CONTENDA,2021,37
RJ,SAO FRANCISCO DE ITABAPOANA,2022,43
ES,ALEGRE,2021,71
BA,ARACATU,2021,13
TO,CACHOEIRINHA,2024,5
AM,ITAPIRANGA,2022,29
MG,CAMPINA VERDE,2021,83
MG,MONTE ALEGRE DE MINAS,2023,32
ES,ANCHIETA,2022,73
PR,QUITANDINHA,2022,122
PR,SAO JORGE DO IVAI,2022,11
PB,QUEIMADAS,2022,38
RS,GRAMADO XAVIER,2024,10
SP,ITAQUAQUECETUBA,2024,391
MG,RIBEIRAO DAS NEVES,2021,1317
BA,ABAIRA,2023,17
BA,PARAMIRIM,2021,33
MG,IBIRITE,2022,219
PA,CONCORDIA DO PARA,2023,12
MG,ARAPORA,2023,73
SC,SAO JOSE DO CEDRO,2023,14
SC,AGUA DOCE,2021,14
RS,ALVORADA,2023,440
SP,CRAVINHOS,2024,116
MG,VARGEM ALEGRE,2021,46
RS,SAO FRANCISCO DE ASSIS,2022,9
MG,DELFINOPOLIS,2024,38
SC,BALNEARIO ARROIO DO SILVA,2022,31
AM,CAREIRO,2022,90
RJ,MENDES,2022,34
BA,MALHADA DE PEDRAS,2021,11
RS,ARROIO DOS RATOS,2024,25
MG,CONQUISTA,2021,9
PA,ACARA,2024,14
RS,NOVA PALMA,2022,17
PR,DOUTOR ULYSSES,2021,2
MG,BELO HORIZONTE,2021,15311
RJ,CAMPOS DOS GOYTACAZES,2024,684
MG,ITAU DE MINAS,2024,27
CE,TABULEIRO DO NORTE,2023,17
MG,ESMERALDAS,2022,197
PA,SANTA BARBARA DO PARA,2024,34
RS,ENCRUZILHADA DO SUL,2023,29
PR,GRAMADO,2021,6
MG,ATALEIA,2022,23
PB,LAGOA SECA,2021,19
RS,NOVA RAMADA,2023,7
SP,RIBEIRAO PRETO,2022,3639
MG,SERRA DOS AIMORES,2024,23
RS,VERANOPOLIS,2021,255
MG,MARIO CAMPOS,2021,199
SP,JABOTICABAL,2023,285
RJ,SAQUAREMA,2023,132
RJ,RIO CLARO,2022,34
PR,RIO NEGRO,2021,95
SC,GUARUJA DO SUL,2021,9
AM,BORBA,2023,10
PR,IGUARACU,2023,13
ES,ARACRUZ,2022,263
RS,PASSO FUNDO,2024,716
MG,CARMOPOLIS DE MINAS,2021,81
SC,SAO MIGUEL DO OESTE,2021,116
MG,DELFINOPOLIS,2023,30
GO,IPAMERI,2023,57
MG,DELTA,2022,32
RS,PINHEIRINHO DO VALE,2024,7
ES,GUACUI,2021,38
SC,IPORA DO OESTE,2021,12
SC,OURO,2024,5
RS,ITAARA,2022,14
ES,RIO BANANAL,2021,38
PA,SANTO ANTONIO DO TAUA,2021,19
PR,MANDAGUACU,2024,23
PB,SAO PAULO,2022,1
SC,RIO NEGRO,2021,1
ES,DOMINGOS MARTINS,2023,441
PR,SAO JOSE DOS PINHAIS,2024,724
PB,CAMPINA GRANDE,2021,1679
CE,TABULEIRO DO NORTE,2024,104
SC,TURVO,2022,43
MG,RAUL SOARES,2021,55
BA,CANDEIAS,2022,102
SC,CAPINZAL,2023,113
RS,ROSARIO DO SUL,2024,69
RS,RESTINGA SECA,2021,34
SP,RIBEIRAO PIRES,2022,258
SP,CRAVINHOS,2022,152
SP,RIO GRANDE DA SERRA,2021,70
CE,JAGUARETAMA,2024,8
RJ,SAO FRANCISCO DE ITABAPOANA,2023,33
MG,ITAOBIM,2022,40
MG,CORONEL PACHECO,2022,5
SC,ERVAL VELHO,2022,4
ES,DORES DO RIO PRETO,2022,8
RS,URUGUAIANA,2024,114
SP,MAUA,2024,600
PB,BOQUEIRAO,2023,31
MG,ITAMBACURI,2022,41
MG,PIEDADE DE CARATINGA,2023,17
CE,RUSSAS,2021,177
SP,GUARIBA,2021,60
AM,IRANDUBA,2023,77
MS,RIO NEGRO,2024,3
MG,BOCAINA DE MINAS,2022,12
SP,PIRAPORA DO BOM JESUS,2024,22
MG,FRANCISCOPOLIS,2023,3
RS,MATA,2022,6
RS,RESTINGA SECA,2023,33
RS,VENANCIO AIRES,2022,273
ES,VENDA NOVA DO IMIGRANTE,2021,94
AM,AUTAZES,2024,41
PA,CONCORDIA DO PARA,2021,10
RS,BARRA DO RIBEIRO,2023,50
